Director (1),AVERAGE of Box Office Revenue ($),AVERAGE of Budget ($),Average Profit
Robert Lorenz,"$49,000,000.00","$60,000,000.00","-$11,000,000.00"
Damien Chazelle,"$49,000,000.00","$3,300,000.00","$45,700,000.00"
Tom Harper,"$48,900,000.00","$15,000,000.00","$33,900,000.00"
Taylor Hackford,"$48,500,000.00","$35,000,000.00","$13,500,000.00"
Kim Ji-woon,"$48,300,000.00","$45,000,000.00","$3,300,000.00"
Dan Bradley,"$48,100,000.00","$65,000,000.00","-$16,900,000.00"
Henry Joost,"$47,600,000.00","$20,000,000.00","$27,600,000.00"
John Luessenhop,"$47,200,000.00","$20,000,000.00","$27,200,000.00"
Derek Cianfrance,"$47,000,000.00","$15,000,000.00","$32,000,000.00"
Dexter Fletcher,"$46,200,000.00","$23,000,000.00","$23,200,000.00"
Asger Leth,"$46,200,000.00","$42,000,000.00","$4,200,000.00"
Kevin Reynolds,"$46,100,000.00","$20,000,000.00","$26,100,000.00"
Edgar Wright,"$46,100,000.00","$20,000,000.00","$26,100,000.00"
Jon Favreau,"$46,000,000.00","$11,000,000.00","$35,000,000.00"
Jake Schreier,"$45,200,000.00","$7,250,000.00","$37,950,000.00"
Richard Linklater,"$44,500,000.00","$4,000,000.00","$40,500,000.00"
Boaz Yakin,"$44,000,000.00","$20,000,000.00","$24,000,000.00"
Garry Marshall,"$43,800,000.00","$25,000,000.00","$18,800,000.00"
Ari Sandel,"$43,500,000.00","$8,500,000.00","$35,000,000.00"
Harold Cronk,"$43,050,000.00","$3,500,000.00","$39,550,000.00"
Michael Tiddes,"$42,050,000.00","$3,250,000.00","$38,800,000.00"
Nicholas Hytner,"$41,400,000.00","$6,000,000.00","$35,400,000.00"
Jonathan Demme,"$41,300,000.00","$18,000,000.00","$23,300,000.00"
Jessie Nelson,"$41,100,000.00","$24,000,000.00","$17,100,000.00"
Tom Gormican,"$40,500,000.00","$8,000,000.00","$32,500,000.00"
Robert Eggers,"$40,400,000.00","$3,000,000.00","$37,400,000.00"
Todd Haynes,"$40,300,000.00","$11,800,000.00","$28,500,000.00"
Frank Miller,"$39,400,000.00","$65,000,000.00","-$25,600,000.00"
David Koepp,"$39,050,000.00","$47,500,000.00","-$8,450,000.00"
David Gelb,"$38,400,000.00","$3,300,000.00","$35,100,000.00"
Andrew Dominik,"$37,900,000.00","$15,000,000.00","$22,900,000.00"
Jason Zada,"$37,600,000.00","$10,000,000.00","$27,600,000.00"
Bradley Parker,"$37,200,000.00","$1,000,000.00","$36,200,000.00"
